onset_index,onset_ms
0,0.0
1,2810.0
2,3150.0
3,3840.0
4,4120.0
5,4510.0
6,5280.0
7,5510.0
8,5790.0
9,6020.0
10,6210.0
11,6490.0
12,6780.0
13,7010.0
14,7240.0
15,7580.0
16,7810.0
17,8050.0
18,8200.0
19,8380.0
20,8560.0
21,8740.0
22,8920.0
23,9100.0
24,9280.0
25,9460.0
26,9640.0
27,9820.0
28,10000.0
29,10180.0
30,10360.0
31,10540.0
32,10720.0
33,10900.0
34,11080.0
35,11260.0
36,11440.0
37,11620.0
38,11800.0
39,11980.0
40,12160.0
41,12340.0
42,12520.0
43,12700.0
44,12880.0
45,13060.0
46,13240.0
47,13420.0
48,13600.0
49,13780.0
50,13960.0
51,14140.0
52,14320.0
53,14500.0
54,14680.0
55,14860.0
56,15040.0
57,15220.0
58,15400.0
59,15580.0
60,15760.0
61,15940.0
62,16120.0
63,16300.0
64,16480.0
65,16660.0
66,16840.0
67,17020.0
68,17200.0
69,17380.0
70,17560.0
71,17740.0
72,17920.0
73,18100.0
74,18280.0
75,18460.0
76,18640.0
77,18820.0
78,19000.0
79,19180.0
80,19360.0
81,19540.0
82,19720.0
83,19900.0
84,20080.0
85,20260.0
86,20440.0
87,20620.0
88,20800.0
89,20980.0
90,21160.0
91,21340.0
92,21520.0
93,21700.0
94,21880.0
95,22060.0
96,22240.0
97,22420.0
98,22600.0
99,22780.0
100,22960.0
101,23140.0
102,23320.0
103,23500.0
104,23680.0
105,23860.0
106,24040.0
107,24220.0
108,24400.0
109,24580.0
110,24760.0
111,24940.0
112,25120.0
113,25300.0
114,25480.0
115,25660.0
116,25840.0
117,26020.0
118,26200.0
119,26380.0
120,26560.0
121,26740.0
122,26920.0
123,27100.0
124,27280.0
125,27460.0
126,27640.0
127,27820.0
128,28000.0
129,28180.0
130,28360.0
131,28540.0
132,28720.0
133,28900.0
134,29080.0
135,29260.0
136,29440.0
137,29620.0
138,29800.0
139,29980.0
140,30160.0
141,30340.0
142,30520.0
143,30700.0
144,30880.0
145,31060.0
146,31240.0
147,31420.0
148,31600.0
149,31780.0
150,31960.0
151,32140.0
152,32320.0
153,32500.0
154,32680.0
155,32860.0
156,33040.0
157,33220.0
158,33400.0
159,33580.0
160,33760.0
161,33940.0
162,34120.0
163,34300.0
164,34480.0
165,34660.0
166,34840.0
167,35020.0
