time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,1,2,0.990,mixed
286.0,0.858,1000,1,2,0.990,mixed
571.0,1.713,1000,1,2,0.990,mixed
759.0,2.277,1000,1,2,0.990,mixed
1035.0,3.105,1000,1,2,0.990,mixed
1311.0,3.933,1000,1,2,0.990,mixed
4286.0,12.858,1000,1,2,0.990,mixed
4527.9,13.584,1000,1,2,0.990,mixed
4857.0,14.571,1000,1,2,0.990,mixed
5154.8,15.464,1000,1,2,0.990,mixed
5429.0,16.287,1000,1,2,0.990,mixed
5665.7,16.997,1000,1,2,0.990,mixed
5891.0,17.673,1000,1,2,0.990,mixed
6071.0,18.213,1000,1,2,0.990,mixed
6234.6,18.704,1000,1,2,0.990,mixed
6446.0,19.338,1000,1,2,0.990,mixed
6732.0,20.196,1000,1,2,0.990,mixed
7018.0,21.054,1000,1,2,0.990,mixed
10251.6,30.755,1000,1,2,0.990,mixed
10571.0,31.713,1000,1,2,0.990,mixed
10832.1,32.496,1000,1,2,0.990,mixed
11122.4,33.367,1000,1,2,0.990,mixed
11429.0,34.287,1000,1,2,0.990,mixed
11993.1,35.979,1000,1,2,0.990,mixed
12329.8,36.989,1000,1,2,0.990,mixed
14245.4,42.736,1000,1,2,0.990,mixed
14582.1,43.746,1000,1,2,0.990,mixed
14857.0,44.571,1000,1,2,0.990,mixed
15162.6,45.488,1000,1,2,0.990,mixed
15429.0,46.287,1000,1,2,0.990,mixed
15743.1,47.229,1000,1,2,0.990,mixed
15917.3,47.752,1000,1,2,0.990,mixed
16071.0,48.213,1000,1,2,0.990,mixed
16288.8,48.866,1000,1,2,0.990,mixed
16446.0,49.338,1000,1,2,0.990,mixed
16997.0,50.991,1000,1,2,0.990,mixed
17333.7,52.001,1000,1,2,0.990,mixed
18571.0,55.713,1000,1,2,0.990,mixed
18857.0,56.571,1000,1,2,0.990,mixed
19143.0,57.429,1000,1,2,0.990,mixed
19429.0,58.287,1000,1,2,0.990,mixed
19857.0,59.571,1000,1,2,0.990,mixed
19886.0,59.658,1000,1,2,0.990,mixed
19886.0,59.658,1000,1,2,0.990,mixed
19914.0,59.742,1000,1,2,0.990,mixed
19914.0,59.742,1000,1,2,0.990,mixed
19943.0,59.829,1000,1,2,0.990,mixed
19943.0,59.829,1000,1,2,0.990,mixed
19971.0,59.913,1000,1,2,0.990,mixed
19971.0,59.913,1000,1,2,0.990,mixed
19999.0,59.997,1000,1,2,0.990,mixed
