time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
100.0,100.000,100,100,100,100.000,100
20108.5,51.806,108.48,1,1,1.000,1
20108.5,52.126,111.224,1,1,1.000,1
20108.5,52.567,113.458,1,1,1.000,1
20108.5,52.688,114.073,1,1,1.000,1
20108.5,52.815,114.209,1,1,1.000,1
20108.5,52.951,114.345,1,1,1.000,1
20108.5,53.087,114.481,1,1,1.000,1
20108.5,53.213,114.617,1,1,1.000,1
20108.5,53.339,114.753,1,1,1.000,1
20108.5,53.466,114.889,1,1,1.000,1
20108.5,53.602,115.025,1,1,1.000,1
20108.5,53.738,115.161,1,1,1.000,1
20108.5,54.166,115.345,1,1,1.000,1
20108.5,54.302,115.481,1,1,1.000,1
20108.5,54.438,115.617,1,1,1.000,1
20108.5,54.564,115.753,1,1,1.000,1
20108.5,54.700,115.889,1,1,1.000,1
20108.5,54.836,116.025,1,1,1.000,1
20108.5,54.962,116.161,1,1,1.000,1
20108.5,55.576,116.335,1,1,1.000,1
20108.5,55.802,116.471,1,1,1.000,1
20108.5,56.038,116.645,1,1,1.000,1
20108.5,56.164,116.781,1,1,1.000,1
20108.5,56.300,116.917,1,1,1.000,1
20108.5,56.436,117.053,1,1,1.000,1
20108.5,56.562,117.189,1,1,1.000,1
20108.5,57.176,117.373,1,1,1.000,1
20108.5,57.302,117.509,1,1,1.000,1
20108.5,57.438,117.645,1,1,1.000,1
20108.5,57.564,117.781,1,1,1.000,1
20108.5,57.790,117.917,1,1,1.000,1
20108.5,57.926,118.053,1,1,1.000,1
20108.5,58.062,118.189,1,1,1.000,1
20108.5,58.676,118.373,1,1,1.000,1
20108.5,58.802,118.509,1,1,1.000,1
20108.5,59.038,118.645,1,1,1.000,1
20108.5,59.164,118.781,1,1,1.000,1
20108.5,59.300,118.917,1,1,1.000,1
20108.5,59.436,119.053,1,1,1.000,1
20108.5,59.562,119.189,1,1,1.000,1
20108.5,60.176,119.373,1,1,1.000,1
20108.5,60.302,119.509,1,1,1.000,1
20108.5,60.438,119.645,1,1,1.000,1
20108.5,60.564,119.781,1,1,1.000,1
20108.5,60.790,119.917,1,1,1.000,1
20108.5,60.926,120.053,1,1,1.000,1
20108.5,61.062,120.189,1,1,1.000,1
20108.5,61.676,120.373,1,1,1.000,1
20108.5,61.802,120.509,1,1,1.000,1
20108.5,62.038,120.645,1,1,1.000,1
20108.5,62.164,120.781,1,1,1.000,1
20108.5,62.300,120.917,1,1,1.000,1
20108.5,62.436,121.053,1,1,1.000,1
20108.5,62.562,121.189,1,1,1.000,1
20108.5,62.986,121.373,1,1,1.000,1
20108.5,63.112,121.509,1,1,1.000,1
20108.5,63.238,121.645,1,1,1.000,1
20108.5,63.364,121.781,1,1,1.000,1
20108.5,63.492,121.917,1,1,1.000,1
20108.5,63.606,122.053,1,1,1.000,1
20108.5,63.717,122.189,1,1,1.000,1
20108.5,64.345,122.373,1,1,1.000,1
20108.5,64.889,142.025,1,1,1.000,1
20108.5,65.073,142.161,1,1,1.000,1
20108.5,65.296,142.335,1,1,1.000,1
20108.5,65.422,142.471,1,1,1.000,1
20108.5,65.606,142.645,1,1,1.000,1
20108.5,65.932,142.819,1,1,1.000,1
20108.5,66.444,143.003,1,1,1.000,1
20108.5,66.657,143.139,1,1,1.000,1
20108.5,67.161,143.265,1,1,1.000,1
20178.1,67.485,143.449,1,1,1.000,1
20178.1,67.717,143.623,1,1,1.000,1
20178.1,68.223,143.759,1,1,1.000,1
20178.1,68.729,143.933,1,1,1.000,1
20178.1,69.235,144.069,1,1,1.000,1
20178.1,69.462,144.243,1,1,1.000,1
20178.1,69.978,144.417,1,1,1.000,1
20178.1,70.594,144.543,1,1,1.000,1
20178.1,71.100,144.669,1,1,1.000,1
20178.1,71.584,144.843,1,1,1.000,1
20178.1,72.011,144.979,1,1,1.000,1
20178.1,72.495,145.153,1,1,1.000,1
20178.1,72.980,145.279,1,1,1.000,1
20178.1,73.797,145.453,1,1,1.000,1
20178.1,74.303,145.627,1,1,1.000,1
20178.1,74.819,145.759,1,1,1.000,1
20178.1,75.208,145.933,1,1,1.000,1
20178.1,75.714,146.069,1,1,1.000,1
20178.1,76.220,146.243,1,1,1.000,1
20178.1,76.726,146.417,1,1,1.000,1
20178.1,77.211,146.543,1,1,1.000,1
20178.1,77.695,146.669,1,1,1.000,1
20178.1,78.180,146.843,1,1,1.000,1
20178.1,78.407,146.979,1,1,1.000,1
20178.1,78.913,147.153,1,1,1.000,1
20178.1,79.408,147.327,1,1,1.000,1
20178.1,79.734,147.459,1,1,1.000,1
20178.1,80.220,147.633,1,1,1.000,1
20178.1,80.546,147.759,1,1,1.000,1
20178.1,81.031,147.933,1,1,1.000,1
20178.1,81.515,148.069,1,1,1.000,1
20178.1,82.000,148.243,1,1,1.000,1
20178.1,82.485,148.417,1,1,1.000,1
20178.1,82.711,148.543,1,1,1.000,1
20178.1,83.195,148.669,1,1,1.000,1
20178.1,83.680,148.843,1,1,1.000,1
20178.1,84.166,148.979,1,1,1.000,1
20178.1,84.651,149.153,1,1,1.000,1
20178.1,85.137,149.327,1,1,1.000,1
20178.1,85.463,149.459,1,1,1.000,1
20178.1,85.949,149.633,1,1,1.000,1
20178.1,86.275,149.759,1,1,1.000,1
20178.1,86.760,149.933,1,1,1.000,1
