time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
323.0,0.668,1000,1,2,0.990,mixed
731.4,1.512,1000,1,2,0.990,mixed
1219.0,2.519,1000,1,2,0.990,mixed
2098.0,4.336,1000,1,2,0.990,mixed
2658.7,5.495,1000,1,2,0.990,mixed
3459.8,7.150,1000,1,2,0.990,mixed
3866.1,7.990,1000,1,2,0.990,mixed
4330.5,8.950,1000,1,2,0.990,mixed
4713.6,9.742,1000,1,2,0.990,mixed
5085.2,10.509,1000,1,2,0.990,mixed
5538.0,11.445,1000,1,2,0.990,mixed
7012.4,14.492,1000,1,2,0.990,mixed
7803.0,16.126,1000,1,2,0.990,mixed
8951.3,18.499,1000,1,2,0.990,mixed
13049.6,26.969,1000,1,2,0.990,mixed
13920.4,28.769,1000,1,2,0.990,mixed
14849.2,30.688,1000,1,2,0.990,mixed
15071.0,31.147,1000,1,2,0.990,mixed
15893.0,32.846,1000,1,2,0.990,mixed
16071.0,33.213,1000,1,2,0.990,mixed
16593.0,34.292,1000,1,2,0.990,mixed
16875.0,34.875,1000,1,2,0.990,mixed
17415.0,35.991,1000,1,2,0.990,mixed
17786.5,36.759,1000,1,2,0.990,mixed
18274.1,37.766,1000,1,2,0.990,mixed
18634.0,38.510,1000,1,2,0.990,mixed
19075.2,39.422,1000,1,2,0.990,mixed
19551.2,40.406,1000,1,2,0.990,mixed
19928.0,41.185,1000,1,2,0.990,mixed
19984.0,41.300,1000,1,2,0.990,mixed
20040.0,41.416,1000,1,2,0.990,mixed
20199.0,41.745,1000,1,2,0.990,mixed
20521.0,42.410,1000,1,2,0.990,mixed
20707.0,42.794,1000,1,2,0.990,mixed
21029.0,43.460,1000,1,2,0.990,mixed
21451.0,44.332,1000,1,2,0.990,mixed
22273.0,46.031,1000,1,2,0.990,mixed
22795.0,47.110,1000,1,2,0.990,mixed
23317.0,48.188,1000,1,2,0.990,mixed
23739.0,49.061,1000,1,2,0.990,mixed
24161.0,49.933,1000,1,2,0.990,mixed
24583.0,50.805,1000,1,2,0.990,mixed
25005.0,51.677,1000,1,2,0.990,mixed
25427.0,52.549,1000,1,2,0.990,mixed
25849.0,53.421,1000,1,2,0.990,mixed
26271.0,54.293,1000,1,2,0.990,mixed
26793.0,55.372,1000,1,2,0.990,mixed
27315.0,56.451,1000,1,2,0.990,mixed
27837.0,57.530,1000,1,2,0.990,mixed
28259.0,58.402,1000,1,2,0.990,mixed
28681.0,59.274,1000,1,2,0.990,mixed
29103.0,60.146,1000,1,2,0.990,mixed
29525.0,61.018,1000,1,2,0.990,mixed
29947.0,61.890,1000,1,2,0.990,mixed
29993.0,61.986,1000,1,2,0.990,mixed
30049.0,62.101,1000,1,2,0.990,mixed
30105.0,62.217,1000,1,2,0.990,mixed
30161.0,62.333,1000,1,2,0.990,mixed
30583.0,63.205,1000,1,2,0.990,mixed
30865.0,63.788,1000,1,2,0.990,mixed
31287.0,64.660,1000,1,2,0.990,mixed
32129.0,66.400,1000,1,2,0.990,mixed
33011.0,68.223,1000,1,2,0.990,mixed
33433.0,69.095,1000,1,2,0.990,mixed
34098.0,70.469,1000,1,2,0.990,mixed
34900.0,72.127,1000,1,2,0.990,mixed
35555.0,73.480,1000,1,2,0.990,mixed
36416.0,75.260,1000,1,2,0.990,mixed
38681.0,79.941,1000,1,2,0.990,mixed
39993.0,82.652,1000,1,2,0.990,mixed
40323.0,83.334,1000,1,2,0.990,mixed
40745.0,84.206,1000,1,2,0.990,mixed
41267.0,85.285,1000,1,2,0.990,mixed
41409.0,85.579,1000,1,2,0.990,mixed
41819.1,86.426,1000,1,2,0.990,mixed
42252.0,87.321,1000,1,2,0.990,mixed
42394.0,87.614,1000,1,2,0.990,mixed
42806.0,88.466,1000,1,2,0.990,mixed
43282.0,89.449,1000,1,2,0.990,mixed
43781.2,90.481,1000,1,2,0.990,mixed
44282.0,91.516,1000,1,2,0.990,mixed
44804.0,92.595,1000,1,2,0.990,mixed
45326.0,93.674,1000,1,2,0.990,mixed
45848.0,94.753,1000,1,2,0.990,mixed
46370.0,95.831,1000,1,2,0.990,mixed
46992.0,97.117,1000,1,2,0.990,mixed
47914.4,99.023,1000,1,2,0.990,mixed
48878.0,101.015,1000,1,2,0.990,mixed
49841.6,103.006,1000,1,2,0.990,mixed
50080.0,103.499,1000,1,2,0.990,mixed
50502.0,104.371,1000,1,2,0.990,mixed
51037.5,105.477,1000,1,2,0.990,mixed
51525.1,106.485,1000,1,2,0.990,mixed
52068.0,107.607,1000,1,2,0.990,mixed
52628.0,108.765,1000,1,2,0.990,mixed
