time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.950,kick
113.6,1.250,0000,0,4,1.000,unknown
227.3,1.500,0110,4,3,0.880,snare
340.9,1.750,0000,0,4,1.000,unknown
454.5,2.000,1001,4,2,0.920,kick
568.2,2.250,0000,0,4,1.000,unknown
681.8,2.500,0110,4,3,0.850,snare
795.5,2.750,0000,0,4,1.000,unknown
909.1,3.000,1001,4,2,0.930,kick
1022.7,3.250,0000,0,4,1.000,unknown
1136.4,3.500,0110,4,3,0.890,snare
1250.0,3.750,0000,0,4,1.000,unknown
1363.6,4.000,1001,4,2,0.940,kick
1477.3,4.250,0000,0,4,1.000,unknown
1590.9,4.500,0110,4,3,0.860,snare
1704.5,4.750,0000,0,4,1.000,unknown
1818.2,5.000,",",-1,-1,1.000,separator
1818.2,5.000,1000,4,2,0.910,synth
1931.8,5.250,0100,3,4,0.820,synth
2045.5,5.500,1000,3,3,0.840,synth
2159.1,5.750,0100,3,4,0.810,synth
2272.7,6.000,0010,4,2,0.880,synth
2386.4,6.250,0001,3,4,0.790,synth
2500.0,6.500,0010,3,3,0.820,synth
2613.6,6.750,0001,3,4,0.770,synth
2727.3,7.000,1100,4,2,0.900,kick
2840.9,7.250,0000,0,4,1.000,unknown
2954.5,7.500,0011,4,3,0.870,snare
3068.2,7.750,0000,0,4,1.000,unknown
3181.8,8.000,1010,4,2,0.890,synth
3295.5,8.250,0101,3,4,0.830,synth
3409.1,8.500,1010,3,3,0.860,synth
3522.7,8.750,0101,3,4,0.810,synth
3636.4,9.000,",",-1,-1,1.000,separator
0.0,1.000,1000,4,2,0.980,kick
113.6,1.250,0000,0,3,1.000,unknown
227.2,1.500,0010,3,3,0.850,synth
340.8,1.750,0000,0,3,1.000,unknown
454.4,2.000,0100,4,2,0.980,snare
568.0,2.250,1000,3,3,0.820,kick
681.6,2.500,0001,3,3,0.880,synth
795.2,2.750,0000,0,3,1.000,unknown
908.8,3.000,1100,4,2,0.950,kick
1022.4,3.250,0000,0,3,1.000,unknown
1136.0,3.500,0011,3,3,0.840,synth
1249.6,3.750,0000,0,3,1.000,unknown
1363.2,4.000,0100,4,2,0.970,snare
1476.8,4.250,0000,0,3,1.000,unknown
1590.4,4.500,1001,3,3,0.890,kick
1704.0,4.750,0000,0,3,1.000,unknown
1817.6,5.000,",",-1,-1,1.000,separator
1817.6,5.000,1010,4,2,0.980,kick
1931.2,5.250,0000,0,3,1.000,unknown
2044.8,5.500,0100,3,3,0.850,synth
2158.4,5.750,1000,3,3,0.820,kick
2272.0,6.000,0001,4,2,0.980,snare
