time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
353.0,0.734,1000,1,2,0.990,mixed
708.2,1.472,1000,1,2,0.990,mixed
2136.2,4.440,1000,1,2,0.990,mixed
2471.0,5.136,1000,1,2,0.990,mixed
2844.4,5.912,1000,1,2,0.990,mixed
3176.0,6.601,1000,1,2,0.990,mixed
3619.0,7.522,1000,1,2,0.990,mixed
3971.0,8.254,1000,1,2,0.990,mixed
4414.0,9.175,1000,1,2,0.990,mixed
4857.0,10.095,1000,1,2,0.990,mixed
5282.5,10.980,1000,1,2,0.990,mixed
5770.2,11.993,1000,1,2,0.990,mixed
6187.0,12.860,1000,1,2,0.990,mixed
6630.0,13.781,1000,1,2,0.990,mixed
7093.7,14.744,1000,1,2,0.990,mixed
7558.1,15.710,1000,1,2,0.990,mixed
7941.2,16.506,1000,1,2,0.990,mixed
8417.2,17.495,1000,1,2,0.990,mixed
8849.0,18.393,1000,1,2,0.990,mixed
9334.4,19.402,1000,1,2,0.990,mixed
9752.4,20.271,1000,1,2,0.990,mixed
10187.0,21.174,1000,1,2,0.990,mixed
10631.0,22.097,1000,1,2,0.990,mixed
11064.3,22.998,1000,1,2,0.990,mixed
11540.3,23.987,1000,1,2,0.990,mixed
12004.7,24.952,1000,1,2,0.990,mixed
12407.0,25.788,1000,1,2,0.990,mixed
12851.0,26.711,1000,1,2,0.990,mixed
13395.0,27.842,1000,1,2,0.990,mixed
13839.0,28.765,1000,1,2,0.990,mixed
14315.1,29.754,1000,1,2,0.990,mixed
14727.0,30.611,1000,1,2,0.990,mixed
15271.0,31.741,1000,1,2,0.990,mixed
15715.0,32.664,1000,1,2,0.990,mixed
16242.4,33.760,1000,1,2,0.990,mixed
16703.0,34.718,1000,1,2,0.990,mixed
17247.0,35.848,1000,1,2,0.990,mixed
17691.0,36.771,1000,1,2,0.990,mixed
18030.3,37.477,1000,1,2,0.990,mixed
18517.9,38.490,1000,1,2,0.990,mixed
18933.0,39.353,1000,1,2,0.990,mixed
19353.8,40.228,1000,1,2,0.990,mixed
20329.1,42.255,1000,1,2,0.990,mixed
20665.8,42.954,1000,1,2,0.990,mixed
22128.6,45.995,1000,1,2,0.990,mixed
22488.5,46.743,1000,1,2,0.990,mixed
22836.8,47.467,1000,1,2,0.990,mixed
23176.0,48.172,1000,1,2,0.990,mixed
23579.9,49.012,1000,1,2,0.990,mixed
23982.0,49.847,1000,1,2,0.990,mixed
24335.0,50.581,1000,1,2,0.990,mixed
24688.0,51.315,1000,1,2,0.990,mixed
25019.5,52.004,1000,1,2,0.990,mixed
25394.0,52.782,1000,1,2,0.990,mixed
25727.7,53.476,1000,1,2,0.990,mixed
26099.2,54.248,1000,1,2,0.990,mixed
26459.1,54.996,1000,1,2,0.990,mixed
26819.0,55.744,1000,1,2,0.990,mixed
27179.0,56.492,1000,1,2,0.990,mixed
27512.0,57.185,1000,1,2,0.990,mixed
27865.0,57.918,1000,1,2,0.990,mixed
28218.0,58.652,1000,1,2,0.990,mixed
28571.0,59.386,1000,1,2,0.990,mixed
28924.0,60.119,1000,1,2,0.990,mixed
29276.0,60.851,1000,1,2,0.990,mixed
29629.0,61.585,1000,1,2,0.990,mixed
29953.7,62.260,1000,1,2,0.990,mixed
30290.4,62.960,1000,1,2,0.990,mixed
30688.0,63.786,1000,1,2,0.990,mixed
31021.9,64.480,1000,1,2,0.990,mixed
31394.0,65.253,1000,1,2,0.990,mixed
31647.0,65.779,1000,1,2,0.990,mixed
31909.0,66.324,1000,1,2,0.990,mixed
32166.0,66.858,1000,1,2,0.990,mixed
32426.7,67.400,1000,1,2,0.990,mixed
32782.0,68.138,1000,1,2,0.990,mixed
33135.0,68.872,1000,1,2,0.990,mixed
33488.0,69.606,1000,1,2,0.990,mixed
33796.6,70.247,1000,1,2,0.990,mixed
34156.6,70.996,1000,1,2,0.990,mixed
34400.4,71.502,1000,1,2,0.990,mixed
34802.0,72.337,1000,1,2,0.990,mixed
35108.6,72.974,1000,1,2,0.990,mixed
35508.0,73.805,1000,1,2,0.990,mixed
35861.0,74.538,1000,1,2,0.990,mixed
36214.0,75.272,1000,1,2,0.990,mixed
36571.4,76.015,1000,1,2,0.990,mixed
36923.0,76.746,1000,1,2,0.990,mixed
37291.2,77.511,1000,1,2,0.990,mixed
37604.7,78.163,1000,1,2,0.990,mixed
38065.0,79.119,1000,1,2,0.990,mixed
38418.0,79.853,1000,1,2,0.990,mixed
38771.0,80.587,1000,1,2,0.990,mixed
39124.0,81.321,1000,1,2,0.990,mixed
39476.0,82.052,1000,1,2,0.990,mixed
39829.0,82.786,1000,1,2,0.990,mixed
39976.0,83.091,1000,1,2,0.990,mixed
60356.0,125.452,1000,1,2,0.990,mixed
60712.0,126.192,1000,1,2,0.990,mixed
61168.0,127.140,1000,1,2,0.990,mixed
62168.0,129.218,1000,1,2,0.990,mixed
62902.9,130.746,1000,1,2,0.990,mixed
63065.0,131.083,1000,1,2,0.990,mixed
63421.0,131.823,1000,1,2,0.990,mixed
63777.0,132.563,1000,1,2,0.990,mixed
65172.0,135.462,1000,1,2,0.990,mixed
65988.0,137.158,1000,1,2,0.990,mixed
66757.4,138.757,1000,1,2,0.990,mixed
67161.0,139.596,1000,1,2,0.990,mixed
67517.0,140.336,1000,1,2,0.990,mixed
68197.0,141.750,1000,1,2,0.990,mixed
68949.0,143.313,1000,1,2,0.990,mixed
69866.0,145.219,1000,1,2,0.990,mixed
70047.0,145.595,1000,1,2,0.990,mixed
70403.0,146.335,1000,1,2,0.990,mixed
70728.0,147.010,1000,1,2,0.990,mixed
71087.9,147.759,1000,1,2,0.990,mixed
72115.0,149.893,1000,1,2,0.990,mixed
72931.0,151.590,1000,1,2,0.990,mixed
73287.0,152.329,1000,1,2,0.990,mixed
73643.0,153.069,1000,1,2,0.990,mixed
74000.0,153.811,1000,1,2,0.990,mixed
74315.5,154.467,1000,1,2,0.990,mixed
76290.0,158.571,1000,1,2,0.990,mixed
76614.2,159.245,1000,1,2,0.990,mixed
76858.1,159.752,1000,1,2,0.990,mixed
77143.0,160.344,1000,1,2,0.990,mixed
77426.9,160.934,1000,1,2,0.990,mixed
77775.0,161.658,1000,1,2,0.990,mixed
78170.0,162.479,1000,1,2,0.990,mixed
78309.3,162.768,1000,1,2,0.990,mixed
78493.0,163.150,1000,1,2,0.990,mixed
78657.6,163.492,1000,1,2,0.990,mixed
78901.4,163.999,1000,1,2,0.990,mixed
79005.9,164.216,1000,1,2,0.990,mixed
79261.3,164.747,1000,1,2,0.990,mixed
79377.4,164.989,1000,1,2,0.990,mixed
79621.2,165.495,1000,1,2,0.990,mixed
79760.0,165.784,1000,1,2,0.990,mixed
79941.0,166.160,1000,1,2,0.990,mixed
80122.0,166.536,1000,1,2,0.990,mixed
80303.0,166.912,1000,1,2,0.990,mixed
80341.0,166.992,1000,1,2,0.990,mixed
80484.0,167.289,1000,1,2,0.990,mixed
80665.0,167.665,1000,1,2,0.990,mixed
80828.7,168.005,1000,1,2,0.990,mixed
80846.0,168.041,1000,1,2,0.990,mixed
81027.0,168.417,1000,1,2,0.990,mixed
81208.0,168.794,1000,1,2,0.990,mixed
81304.7,168.994,1000,1,2,0.990,mixed
81714.0,169.845,1000,1,2,0.990,mixed
82129.0,170.708,1000,1,2,0.990,mixed
82403.0,171.277,1000,1,2,0.990,mixed
82616.6,171.721,1000,1,2,0.990,mixed
83082.0,172.689,1000,1,2,0.990,mixed
83544.0,173.649,1000,1,2,0.990,mixed
83940.1,174.472,1000,1,2,0.990,mixed
84044.6,174.690,1000,1,2,0.990,mixed
84250.0,175.116,1000,1,2,0.990,mixed
84372.0,175.370,1000,1,2,0.990,mixed
84555.5,175.751,1000,1,2,0.990,mixed
84816.0,176.293,1000,1,2,0.990,mixed
84884.0,176.434,1000,1,2,0.990,mixed
85019.9,176.717,1000,1,2,0.990,mixed
85263.7,177.223,1000,1,2,0.990,mixed
85507.5,177.730,1000,1,2,0.990,mixed
85700.0,178.130,1000,1,2,0.990,mixed
86516.0,179.826,1000,1,2,0.990,mixed
86963.0,180.755,1000,1,2,0.990,mixed
86973.0,180.776,1000,1,2,0.990,mixed
87329.0,181.516,1000,1,2,0.990,mixed
87425.0,181.716,1000,1,2,0.990,mixed
87685.0,182.256,1000,1,2,0.990,mixed
87887.5,182.677,1000,1,2,0.990,mixed
88041.0,182.996,1000,1,2,0.990,mixed
88397.0,183.736,1000,1,2,0.990,mixed
88678.0,184.320,1000,1,2,0.990,mixed
88859.0,184.696,1000,1,2,0.990,mixed
88909.0,184.800,1000,1,2,0.990,mixed
89040.0,185.073,1000,1,2,0.990,mixed
89221.0,185.449,1000,1,2,0.990,mixed
89402.0,185.825,1000,1,2,0.990,mixed
89583.0,186.201,1000,1,2,0.990,mixed
89764.0,186.577,1000,1,2,0.990,mixed
89945.0,186.954,1000,1,2,0.990,mixed
90126.0,187.330,1000,1,2,0.990,mixed
90307.0,187.706,1000,1,2,0.990,mixed
90488.0,188.082,1000,1,2,0.990,mixed
90669.0,188.459,1000,1,2,0.990,mixed
90850.0,188.835,1000,1,2,0.990,mixed
91031.0,189.211,1000,1,2,0.990,mixed
91212.0,189.587,1000,1,2,0.990,mixed
91393.0,189.963,1000,1,2,0.990,mixed
91521.0,190.229,1000,1,2,0.990,mixed
91574.0,190.340,1000,1,2,0.990,mixed
91755.0,190.716,1000,1,2,0.990,mixed
91936.0,191.092,1000,1,2,0.990,mixed
92113.6,191.461,1000,1,2,0.990,mixed
92117.0,191.468,1000,1,2,0.990,mixed
92298.0,191.844,1000,1,2,0.990,mixed
92479.0,192.221,1000,1,2,0.990,mixed
92545.0,192.358,1000,1,2,0.990,mixed
92660.0,192.597,1000,1,2,0.990,mixed
92841.0,192.973,1000,1,2,0.990,mixed
93007.0,193.318,1000,1,2,0.990,mixed
93022.0,193.349,1000,1,2,0.990,mixed
93203.0,193.726,1000,1,2,0.990,mixed
93384.0,194.102,1000,1,2,0.990,mixed
93469.0,194.278,1000,1,2,0.990,mixed
93565.0,194.478,1000,1,2,0.990,mixed
93746.0,194.854,1000,1,2,0.990,mixed
93927.0,195.230,1000,1,2,0.990,mixed
93931.0,195.239,1000,1,2,0.990,mixed
94108.0,195.607,1000,1,2,0.990,mixed
94289.0,195.983,1000,1,2,0.990,mixed
94389.1,196.191,1000,1,2,0.990,mixed
94470.0,196.359,1000,1,2,0.990,mixed
94651.0,196.735,1000,1,2,0.990,mixed
94832.0,197.111,1000,1,2,0.990,mixed
94855.0,197.159,1000,1,2,0.990,mixed
95013.0,197.488,1000,1,2,0.990,mixed
95108.9,197.687,1000,1,2,0.990,mixed
95194.0,197.864,1000,1,2,0.990,mixed
95299.0,198.082,1000,1,2,0.990,mixed
95375.0,198.240,1000,1,2,0.990,mixed
95521.0,198.544,1000,1,2,0.990,mixed
95556.0,198.616,1000,1,2,0.990,mixed
95737.0,198.993,1000,1,2,0.990,mixed
95743.0,199.005,1000,1,2,0.990,mixed
95918.0,199.369,1000,1,2,0.990,mixed
96099.0,199.745,1000,1,2,0.990,mixed
96165.4,199.883,1000,1,2,0.990,mixed
96280.0,200.121,1000,1,2,0.990,mixed
96461.0,200.497,1000,1,2,0.990,mixed
96642.0,200.874,1000,1,2,0.990,mixed
96667.0,200.926,1000,1,2,0.990,mixed
96823.0,201.250,1000,1,2,0.990,mixed
97004.0,201.626,1000,1,2,0.990,mixed
97129.0,201.886,1000,1,2,0.990,mixed
97185.0,202.002,1000,1,2,0.990,mixed
97366.0,202.378,1000,1,2,0.990,mixed
97547.0,202.755,1000,1,2,0.990,mixed
97591.0,202.846,1000,1,2,0.990,mixed
97728.0,203.131,1000,1,2,0.990,mixed
97909.0,203.507,1000,1,2,0.990,mixed
98053.0,203.806,1000,1,2,0.990,mixed
98090.0,203.883,1000,1,2,0.990,mixed
98271.0,204.260,1000,1,2,0.990,mixed
98452.0,204.636,1000,1,2,0.990,mixed
98515.0,204.767,1000,1,2,0.990,mixed
98633.0,205.012,1000,1,2,0.990,mixed
98814.0,205.388,1000,1,2,0.990,mixed
99077.0,205.935,1000,1,2,0.990,mixed
99095.0,205.972,1000,1,2,0.990,mixed
99539.0,206.895,1000,1,2,0.990,mixed
99801.0,207.440,1000,1,2,0.990,mixed
99938.7,207.726,1000,1,2,0.990,mixed
99938.7,207.726,1000,1,2,0.990,mixed
100065.0,207.988,1000,1,2,0.990,mixed
100147.0,208.159,1000,1,2,0.990,mixed
100229.0,208.329,1000,1,2,0.990,mixed
100287.0,208.450,1000,1,2,0.990,mixed
100311.0,208.500,1000,1,2,0.990,mixed
100393.0,208.670,1000,1,2,0.990,mixed
100465.0,208.820,1000,1,2,0.990,mixed
100475.0,208.841,1000,1,2,0.990,mixed
100517.0,208.928,1000,1,2,0.990,mixed
100557.0,209.011,1000,1,2,0.990,mixed
100639.0,209.182,1000,1,2,0.990,mixed
100721.0,209.352,1000,1,2,0.990,mixed
100737.0,209.385,1000,1,2,0.990,mixed
100803.0,209.522,1000,1,2,0.990,mixed
100885.0,209.693,1000,1,2,0.990,mixed
100967.0,209.863,1000,1,2,0.990,mixed
101019.0,209.971,1000,1,2,0.990,mixed
101049.0,210.034,1000,1,2,0.990,mixed
101131.0,210.204,1000,1,2,0.990,mixed
101213.0,210.375,1000,1,2,0.990,mixed
101285.4,210.525,1000,1,2,0.990,mixed
101295.0,210.545,1000,1,2,0.990,mixed
101377.0,210.715,1000,1,2,0.990,mixed
101459.0,210.886,1000,1,2,0.990,mixed
101465.0,210.898,1000,1,2,0.990,mixed
101541.0,211.056,1000,1,2,0.990,mixed
101623.0,211.227,1000,1,2,0.990,mixed
101639.0,211.260,1000,1,2,0.990,mixed
101705.0,211.397,1000,1,2,0.990,mixed
101787.0,211.568,1000,1,2,0.990,mixed
101854.3,211.708,1000,1,2,0.990,mixed
101869.0,211.738,1000,1,2,0.990,mixed
101951.0,211.909,1000,1,2,0.990,mixed
102033.0,212.079,1000,1,2,0.990,mixed
102115.0,212.249,1000,1,2,0.990,mixed
102197.0,212.420,1000,1,2,0.990,mixed
102279.0,212.590,1000,1,2,0.990,mixed
102361.0,212.761,1000,1,2,0.990,mixed
102443.0,212.931,1000,1,2,0.990,mixed
102525.0,213.102,1000,1,2,0.990,mixed
102590.0,213.237,1000,1,2,0.990,mixed
102607.0,213.272,1000,1,2,0.990,mixed
102689.0,213.443,1000,1,2,0.990,mixed
102771.0,213.613,1000,1,2,0.990,mixed
102853.0,213.783,1000,1,2,0.990,mixed
102917.0,213.916,1000,1,2,0.990,mixed
102935.0,213.954,1000,1,2,0.990,mixed
102972.0,214.031,1000,1,2,0.990,mixed
102999.0,214.087,1000,1,2,0.990,mixed
103182.0,214.467,1000,1,2,0.990,mixed
103254.0,214.617,1000,1,2,0.990,mixed
103553.0,215.238,1000,1,2,0.990,mixed
103561.0,215.255,1000,1,2,0.990,mixed
103862.9,215.882,1000,1,2,0.990,mixed
104015.0,216.199,1000,1,2,0.990,mixed
104280.0,216.749,1000,1,2,0.990,mixed
104477.0,217.159,1000,1,2,0.990,mixed
104745.2,217.716,1000,1,2,0.990,mixed
105039.0,218.327,1000,1,2,0.990,mixed
105242.0,218.749,1000,1,2,0.990,mixed
105401.0,219.079,1000,1,2,0.990,mixed
105724.0,219.751,1000,1,2,0.990,mixed
105863.0,220.040,1000,1,2,0.990,mixed
106103.6,220.540,1000,1,2,0.990,mixed
106225.0,220.792,1000,1,2,0.990,mixed
106307.0,220.963,1000,1,2,0.990,mixed
106379.0,221.112,1000,1,2,0.990,mixed
106389.0,221.133,1000,1,2,0.990,mixed
