time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
348.3,0.987,1000,1,2,0.990,mixed
708.2,2.007,1000,1,2,0.990,mixed
1168.0,3.309,1000,1,2,0.990,mixed
1524.0,4.318,1000,1,2,0.990,mixed
2101.4,5.954,1000,1,2,0.990,mixed
2295.0,6.502,1000,1,2,0.990,mixed
2461.3,6.974,1000,1,2,0.990,mixed
2637.0,7.472,1000,1,2,0.990,mixed
2993.0,8.480,1000,1,2,0.990,mixed
3854.5,10.921,1000,1,2,0.990,mixed
4064.0,11.515,1000,1,2,0.990,mixed
4420.0,12.523,1000,1,2,0.990,mixed
4562.7,12.928,1000,1,2,0.990,mixed
4762.0,13.492,1000,1,2,0.990,mixed
5118.0,14.501,1000,1,2,0.990,mixed
5918.0,16.768,1000,1,2,0.990,mixed
6089.0,17.252,1000,1,2,0.990,mixed
6170.0,17.482,1000,1,2,0.990,mixed
6259.0,17.734,1000,1,2,0.990,mixed
6339.1,17.961,1000,1,2,0.990,mixed
6429.0,18.216,1000,1,2,0.990,mixed
6536.4,18.520,1000,1,2,0.990,mixed
6606.1,18.717,1000,1,2,0.990,mixed
6797.0,19.258,1000,1,2,0.990,mixed
7697.0,21.808,1000,1,2,0.990,mixed
8053.0,22.817,1000,1,2,0.990,mixed
8475.3,24.013,1000,1,2,0.990,mixed
12341.4,34.967,1000,1,2,0.990,mixed
12527.2,35.494,1000,1,2,0.990,mixed
12701.3,35.987,1000,1,2,0.990,mixed
12863.0,36.445,1000,1,2,0.990,mixed
13119.0,37.170,1000,1,2,0.990,mixed
13475.0,38.179,1000,1,2,0.990,mixed
13646.0,38.664,1000,1,2,0.990,mixed
13817.0,39.148,1000,1,2,0.990,mixed
14094.5,39.934,1000,1,2,0.990,mixed
14280.3,40.461,1000,1,2,0.990,mixed
14442.8,40.921,1000,1,2,0.990,mixed
14617.0,41.415,1000,1,2,0.990,mixed
14767.9,41.842,1000,1,2,0.990,mixed
14965.3,42.402,1000,1,2,0.990,mixed
15369.0,43.545,1000,1,2,0.990,mixed
15725.0,44.554,1000,1,2,0.990,mixed
16184.3,45.856,1000,1,2,0.990,mixed
16637.0,47.138,1000,1,2,0.990,mixed
17193.0,48.714,1000,1,2,0.990,mixed
17635.6,49.967,1000,1,2,0.990,mixed
17983.8,50.954,1000,1,2,0.990,mixed
19168.0,54.309,1000,1,2,0.990,mixed
19388.7,54.935,1000,1,2,0.990,mixed
19539.6,55.362,1000,1,2,0.990,mixed
19760.2,55.987,1000,1,2,0.990,mixed
19922.7,56.448,1000,1,2,0.990,mixed
20086.0,56.910,1000,1,2,0.990,mixed
20257.0,57.395,1000,1,2,0.990,mixed
20282.6,57.467,1000,1,2,0.990,mixed
20428.0,57.879,1000,1,2,0.990,mixed
20456.8,57.961,1000,1,2,0.990,mixed
20599.0,58.364,1000,1,2,0.990,mixed
20627.0,58.443,1000,1,2,0.990,mixed
20770.0,58.848,1000,1,2,0.990,mixed
20793.5,58.915,1000,1,2,0.990,mixed
20941.0,59.333,1000,1,2,0.990,mixed
20967.6,59.408,1000,1,2,0.990,mixed
21083.0,59.735,1000,1,2,0.990,mixed
21102.0,59.789,1000,1,2,0.990,mixed
21235.0,60.166,1000,1,2,0.990,mixed
21283.0,60.302,1000,1,2,0.990,mixed
21387.0,60.596,1000,1,2,0.990,mixed
21454.0,60.786,1000,1,2,0.990,mixed
21539.0,61.027,1000,1,2,0.990,mixed
21625.0,61.271,1000,1,2,0.990,mixed
21691.0,61.458,1000,1,2,0.990,mixed
21796.0,61.755,1000,1,2,0.990,mixed
21884.8,62.007,1000,1,2,0.990,mixed
21967.0,62.240,1000,1,2,0.990,mixed
21995.0,62.319,1000,1,2,0.990,mixed
22083.0,62.569,1000,1,2,0.990,mixed
22138.0,62.724,1000,1,2,0.990,mixed
22235.0,62.999,1000,1,2,0.990,mixed
22309.0,63.209,1000,1,2,0.990,mixed
22377.0,63.401,1000,1,2,0.990,mixed
22480.0,63.693,1000,1,2,0.990,mixed
22529.0,63.832,1000,1,2,0.990,mixed
22639.5,64.145,1000,1,2,0.990,mixed
22651.0,64.178,1000,1,2,0.990,mixed
22822.0,64.662,1000,1,2,0.990,mixed
22836.8,64.704,1000,1,2,0.990,mixed
22985.0,65.124,1000,1,2,0.990,mixed
23088.0,65.416,1000,1,2,0.990,mixed
23092.2,65.428,1000,1,2,0.990,mixed
23278.0,65.954,1000,1,2,0.990,mixed
23344.0,66.141,1000,1,2,0.990,mixed
23440.5,66.415,1000,1,2,0.990,mixed
23600.0,66.867,1000,1,2,0.990,mixed
23626.3,66.941,1000,1,2,0.990,mixed
23788.8,67.402,1000,1,2,0.990,mixed
23856.0,67.592,1000,1,2,0.990,mixed
23917.0,67.765,1000,1,2,0.990,mixed
24069.0,68.195,1000,1,2,0.990,mixed
24212.0,68.601,1000,1,2,0.990,mixed
24231.0,68.655,1000,1,2,0.990,mixed
24383.0,69.085,1000,1,2,0.990,mixed
24497.0,69.408,1000,1,2,0.990,mixed
24568.0,69.609,1000,1,2,0.990,mixed
24694.4,69.968,1000,1,2,0.990,mixed
24839.0,70.377,1000,1,2,0.990,mixed
25024.0,70.901,1000,1,2,0.990,mixed
25480.0,72.193,1000,1,2,0.990,mixed
25576.8,72.468,1000,1,2,0.990,mixed
25750.9,72.961,1000,1,2,0.990,mixed
25836.0,73.202,1000,1,2,0.990,mixed
25875.0,73.312,1000,1,2,0.990,mixed
26018.0,73.718,1000,1,2,0.990,mixed
26179.0,74.174,1000,1,2,0.990,mixed
26192.0,74.211,1000,1,2,0.990,mixed
26363.0,74.695,1000,1,2,0.990,mixed
26366.3,74.704,1000,1,2,0.990,mixed
26435.9,74.902,1000,1,2,0.990,mixed
26534.0,75.180,1000,1,2,0.990,mixed
26621.7,75.428,1000,1,2,0.990,mixed
26705.0,75.664,1000,1,2,0.990,mixed
26807.4,75.954,1000,1,2,0.990,mixed
26876.0,76.149,1000,1,2,0.990,mixed
27047.0,76.633,1000,1,2,0.990,mixed
27218.0,77.118,1000,1,2,0.990,mixed
27389.0,77.602,1000,1,2,0.990,mixed
27419.0,77.687,1000,1,2,0.990,mixed
27560.0,78.087,1000,1,2,0.990,mixed
27731.0,78.571,1000,1,2,0.990,mixed
27902.0,79.056,1000,1,2,0.990,mixed
28073.0,79.540,1000,1,2,0.990,mixed
28244.0,80.025,1000,1,2,0.990,mixed
28415.0,80.509,1000,1,2,0.990,mixed
28586.0,80.994,1000,1,2,0.990,mixed
28757.0,81.478,1000,1,2,0.990,mixed
28928.0,81.963,1000,1,2,0.990,mixed
29109.0,82.476,1000,1,2,0.990,mixed
29290.0,82.988,1000,1,2,0.990,mixed
29461.0,83.473,1000,1,2,0.990,mixed
29632.0,83.957,1000,1,2,0.990,mixed
29802.8,84.441,1000,1,2,0.990,mixed
29803.0,84.442,1000,1,2,0.990,mixed
29974.0,84.926,1000,1,2,0.990,mixed
29991.0,84.975,1000,1,2,0.990,mixed
30009.0,85.025,1000,1,2,0.990,mixed
30027.0,85.077,1000,1,2,0.990,mixed
30045.0,85.127,1000,1,2,0.990,mixed
30063.0,85.178,1000,1,2,0.990,mixed
30081.0,85.229,1000,1,2,0.990,mixed
30099.0,85.281,1000,1,2,0.990,mixed
30117.0,85.332,1000,1,2,0.990,mixed
30135.0,85.382,1000,1,2,0.990,mixed
30153.0,85.433,1000,1,2,0.990,mixed
30171.0,85.484,1000,1,2,0.990,mixed
30189.0,85.535,1000,1,2,0.990,mixed
30207.0,85.587,1000,1,2,0.990,mixed
30445.0,86.261,1000,1,2,0.990,mixed
30603.0,86.709,1000,1,2,0.990,mixed
30673.6,86.908,1000,1,2,0.990,mixed
30761.0,87.156,1000,1,2,0.990,mixed
30882.5,87.501,1000,1,2,0.990,mixed
30919.0,87.604,1000,1,2,0.990,mixed
31077.0,88.052,1000,1,2,0.990,mixed
31149.6,88.257,1000,1,2,0.990,mixed
31235.0,88.499,1000,1,2,0.990,mixed
31323.7,88.751,1000,1,2,0.990,mixed
31393.0,88.947,1000,1,2,0.990,mixed
31441.0,89.083,1000,1,2,0.990,mixed
31551.0,89.394,1000,1,2,0.990,mixed
