time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.980,kick
125.0,1.250,0100,4,3,0.880,snare
250.0,1.500,0010,4,3,0.850,snare
375.0,1.750,1000,4,3,0.820,kick
500.0,2.000,0001,4,2,0.960,kick
625.0,2.250,0110,4,3,0.840,snare
750.0,2.500,0000,0,3,1.000,unknown
875.0,2.750,1001,4,3,0.870,kick
1000.0,3.000,0100,4,2,0.930,kick
1125.0,3.250,0010,4,3,0.810,snare
1250.0,3.500,1100,4,3,0.890,snare
1375.0,3.750,0000,0,3,1.000,unknown
1500.0,4.000,0011,4,2,0.940,kick
1625.0,4.250,1000,4,3,0.800,snare
1750.0,4.500,0100,4,3,0.830,snare
1875.0,4.750,0010,4,3,0.780,kick
2000.0,5.000,",",-1,-1,1.000,separator
2125.0,5.250,1001,4,2,0.950,kick
2250.0,5.500,0000,0,3,1.000,unknown
2375.0,5.750,0110,4,3,0.870,snare
2500.0,6.000,0000,0,3,1.000,unknown
2625.0,6.250,1000,4,2,0.920,kick
2750.0,6.500,0100,4,3,0.850,snare
2875.0,6.750,0010,4,3,0.810,snare
3000.0,7.000,0001,4,3,0.790,kick
3125.0,7.250,1100,4,2,0.910,kick
3250.0,7.500,0011,4,3,0.860,snare
3375.0,7.750,1000,4,3,0.820,snare
3500.0,8.000,0100,4,3,0.800,kick
3625.0,8.250,0010,4,2,0.900,kick
3750.0,8.500,0001,4,3,0.830,snare
3875.0,8.750,1010,4,3,0.770,snare
4000.0,9.000,0101,4,3,0.750,kick
4125.0,9.250,",",-1,-1,1.000,separator
4250.0,9.500,1000,1,2,0.970,melody
4375.0,9.750,0100,1,3,0.880,melody
4500.0,10.000,0010,1,3,0.860,melody
4625.0,10.250,0001,1,3,0.840,melody
4750.0,10.500,1001,1,2,0.940,melody
4875.0,10.750,0000,0,3,1.000,unknown
5000.0,11.000,0110,4,3,0.910,snare
5125.0,11.250,0000,0,3,1.000,unknown
5250.0,11.500,1000,1,2,0.920,melody
5375.0,11.750,0100,1,3,0.850,melody
5500.0,12.000,0010,1,3,0.830,melody
5625.0,12.250,0001,1,3,0.810,melody
5750.0,12.500,1010,1,2,0.930,melody
5875.0,12.750,0000,0,3,1.000,unknown
6000.0,13.000,0101,4,3,0.880,snare
6125.0,13.250,0000,0,3,1.000,unknown
6250.0,13.500,",",-1,-1,1.000,separator
6375.0,13.750,1100,1,2,0.960,melody
6500.0,14.000,0000,0,3,1.000,unknown
6625.0,14.250,0011,1,3,0.890,melody
6750.0,14.500,0000,0,3,1.000,unknown
6875.0,14.750,1010,1,2,0.940,melody
7000.0,15.000,0000,0,3,1.000,unknown
7125.0,15.250,0101,1,3,0.880,melody
7250.0,15.500,0000,0,3,1.000,unknown
7375.0,15.750,1000,4,2,0.920,kick
7500.0,16.000,0100,4,3,0.850,kick
7625.0,16.250,0010,4,3,0.830,kick
7750.0,16.500,0001,4,3,0.810,kick
7875.0,16.750,1001,4,2,0.900,kick
8000.0,17.000,0000,0,3,1.000,unknown
8125.0,17.250,0110,4,3,0.860,snare
8250.0,17.500,0000,0,3,1.000,unknown
8375.0,17.750,",",-1,-1,1.000,separator
8500.0,18.000,1000,4,2,0.950,kick
8625.0,18.250,1010,4,3,0.870,kick
8750.0,18.500,1000,4,3,0.840,kick
8875.0,18.750,1010,4,3,0.810,kick
9000.0,19.000,0100,4,2,0.930,snare
9125.0,19.250,0101,4,3,0.860,snare
9250.0,19.500,0100,4,3,0.830,snare
9375.0,19.750,0101,4,3,0.800,snare
9500.0,20.000,0010,4,2,0.940,kick
9625.0,20.250,0110,4,3,0.850,kick
9750.0,20.500,0010,4,3,0.820,kick
9875.0,20.750,0110,4,3,0.790,kick
10000.0,21.000,0001,4,2,0.920,snare
10125.0,21.250,0101,4,3,0.840,snare
10250.0,21.500,0001,4,3,0.810,snare
10375.0,21.750,0101,4,3,0.780,snare
10500.0,22.000,",",-1,-1,1.000,separator
10625.0,22.250,1100,1,2,0.980,melody
10750.0,22.500,0011,1,3,0.890,melody
10875.0,22.750,1100,1,3,0.860,melody
11000.0,23.000,0011,1,3,0.840,melody
11125.0,23.250,1010,1,2,0.960,melody
11250.0,23.500,0101,1,3,0.870,melody
11375.0,23.750,1010,1,3,0.830,melody
11500.0,24.000,0101,1,3,0.800,melody
11625.0,24.250,1001,4,2,0.930,kick
11750.0,24.500,0110,4,3,0.850,snare
11875.0,24.750,1001,4,3,0.820,kick
12000.0,25.000,0110,4,3,0.790,snare
12125.0,25.250,1111,4,2,0.950,kick
12250.0,25.500,0000,0,3,1.000,unknown
12375.0,25.750,1111,4,3,0.920,kick
12500.0,26.000,0000,0,3,1.000,unknown
12625.0,26.250,",",-1,-1,1.000,separator
12750.0,26.500,1000,1,2,0.950,melody
12875.0,26.750,0100,1,3,0.880,melody
13000.0,27.000,0010,1,3,0.850,melody
13125.0,27.250,0001,1,3,0.820,melody
13250.0,27.500,0010,1,2,0.930,melody
13375.0,27.750,0100,1,3,0.860,melody
13500.0,28.000,1000,1,3,0.840,melody
13625.0,28.250,0100,1,3,0.810,melody
13750.0,28.500,0010,4,2,0.940,snare
13875.0,28.750,0001,4,3,0.870,snare
14000.0,29.000,0010,4,3,0.830,snare
14125.0,29.250,0100,4,3,0.800,snare
14250.0,29.500,1000,4,2,0.920,kick
14375.0,29.750,0000,0,3,1.000,unknown
14500.0,30.000,1001,4,3,0.890,kick
14625.0,30.250,0000,0,3,1.000,unknown
14750.0,30.500,",",-1,-1,1.000,separator
