time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,0.000,1000,2,2,0.900,synth
93.75,0.250,0000,0,4,1.000,unknown
187.5,0.500,0100,3,3,0.850,synth
281.25,0.750,0000,0,4,1.000,unknown
375.0,1.000,0010,2,2,0.900,synth
468.75,1.250,0000,0,4,1.000,unknown
562.5,1.500,0001,3,3,0.850,synth
656.25,1.750,0000,0,4,1.000,unknown
750.0,2.000,1000,2,2,0.900,synth
843.75,2.250,0100,3,4,0.800,synth
937.5,2.500,0010,3,3,0.850,synth
1031.25,2.750,0001,3,4,0.800,synth
1125.0,3.000,1100,2,2,0.950,synth
1218.75,3.250,0000,0,4,1.000,unknown
1312.5,3.500,0011,3,3,0.950,synth
1406.25,3.750,0000,0,4,1.000,unknown
1500.0,4.000,",",-1,-1,1.000,separator
1500.0,4.000,1001,2,2,0.900,kick
1593.75,4.250,0000,0,4,1.000,unknown
1687.5,4.500,0110,3,3,0.880,kick
1781.25,4.750,0000,0,4,1.000,unknown
1875.0,5.000,1010,2,2,0.900,kick
1968.75,5.250,0000,0,4,1.000,unknown
2062.5,5.500,0101,3,3,0.880,kick
2156.25,5.750,0000,0,4,1.000,unknown
2250.0,6.000,1100,2,2,0.920,snare
2343.75,6.250,1000,3,4,0.800,synth
2437.5,6.500,0100,3,3,0.850,synth
2531.25,6.750,0010,3,4,0.800,synth
2625.0,7.000,0001,2,2,0.950,snare
2718.75,7.250,0000,0,4,1.000,unknown
2812.5,7.500,1111,3,3,0.980,snare
2906.25,7.750,0000,0,4,1.000,unknown
3000.0,8.000,",",-1,-1,1.000,separator
3000.0,8.000,1000,2,2,0.900,kick
3093.75,8.250,0100,3,4,0.800,synth
3187.5,8.500,0010,3,3,0.850,synth
3281.25,8.750,0001,3,4,0.800,synth
3375.0,9.000,1010,2,2,0.900,kick
3468.75,9.250,0000,0,4,1.000,unknown
3562.5,9.500,0101,3,3,0.880,kick
3656.25,9.750,0000,0,4,1.000,unknown
3750.0,10.000,1001,2,2,0.900,kick
3843.75,10.250,0000,0,4,1.000,unknown
3937.5,10.500,0110,3,3,0.880,kick
4031.25,10.750,0000,0,4,1.000,unknown
4125.0,11.000,1111,2,2,0.950,snare
4218.75,11.250,0000,0,4,1.000,unknown
4312.5,11.500,1111,3,3,0.950,snare
4406.25,11.750,0000,0,4,1.000,unknown
4500.0,12.000,",",-1,-1,1.000,separator
4500.0,12.000,0001,2,2,0.900,melody
4593.75,12.250,0010,3,4,0.850,melody
4687.5,12.500,0100,3,3,0.880,melody
4781.25,12.750,1000,3,4,0.850,melody
4875.0,13.000,0001,2,2,0.900,melody
4968.75,13.250,0000,0,4,1.000,unknown
5062.5,13.500,0100,3,3,0.880,melody
5156.25,13.750,0000,0,4,1.000,unknown
5250.0,14.000,0011,2,2,0.920,snare
5343.75,14.250,0000,0,4,1.000,unknown
5437.5,14.500,1100,3,3,0.920,snare
5531.25,14.750,0000,0,4,1.000,unknown
5625.0,15.000,1010,2,2,0.950,kick
5718.75,15.250,0101,3,4,0.850,kick
5812.5,15.500,1010,3,3,0.880,kick
5906.25,15.750,0101,3,4,0.850,kick
6000.0,16.000,",",-1,-1,1.000,separator
6000.0,16.000,1001,2,2,0.900,kick
6093.75,16.250,0000,0,4,1.000,unknown
6187.5,16.500,0110,3,3,0.880,kick
6281.25,16.750,0000,0,4,1.000,unknown
6375.0,17.000,1010,2,2,0.900,kick
6468.75,17.250,0000,0,4,1.000,unknown
6562.5,17.500,0101,3,3,0.880,kick
6656.25,17.750,0000,0,4,1.000,unknown
6750.0,18.000,1100,2,2,0.920,snare
6843.75,18.250,1000,3,4,0.800,synth
6937.5,18.500,0100,3,3,0.850,synth
