time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
300.0,0.715,1000,1,2,0.990,mixed
400.0,0.953,1000,1,2,0.990,mixed
600.0,1.430,1000,1,2,0.990,mixed
1000.0,2.383,1000,1,2,0.990,mixed
1200.0,2.860,1000,1,2,0.990,mixed
1800.0,4.290,1000,1,2,0.990,mixed
2000.0,4.766,1000,1,2,0.990,mixed
2200.0,5.243,1000,1,2,0.990,mixed
2400.0,5.720,1000,1,2,0.990,mixed
2600.0,6.196,1000,1,2,0.990,mixed
2751.6,6.557,1000,1,2,0.990,mixed
3000.0,7.150,1000,1,2,0.990,mixed
3200.0,7.626,1000,1,2,0.990,mixed
3400.0,8.103,1000,1,2,0.990,mixed
3575.9,8.522,1000,1,2,0.990,mixed
3796.5,9.048,1000,1,2,0.990,mixed
4000.0,9.533,1000,1,2,0.990,mixed
4191.2,9.988,1000,1,2,0.990,mixed
4620.8,11.012,1000,1,2,0.990,mixed
5200.0,12.392,1000,1,2,0.990,mixed
5770.2,13.751,1000,1,2,0.990,mixed
6408.7,15.273,1000,1,2,0.990,mixed
7000.0,16.682,1000,1,2,0.990,mixed
7151.8,17.044,1000,1,2,0.990,mixed
7400.0,17.635,1000,1,2,0.990,mixed
7600.0,18.112,1000,1,2,0.990,mixed
7778.7,18.538,1000,1,2,0.990,mixed
8000.0,19.065,1000,1,2,0.990,mixed
8200.0,19.542,1000,1,2,0.990,mixed
8405.6,20.032,1000,1,2,0.990,mixed
8600.0,20.495,1000,1,2,0.990,mixed
8835.2,21.056,1000,1,2,0.990,mixed
9044.2,21.554,1000,1,2,0.990,mixed
9200.0,21.925,1000,1,2,0.990,mixed
9400.0,22.402,1000,1,2,0.990,mixed
9555.0,22.771,1000,1,2,0.990,mixed
10000.0,23.832,1000,1,2,0.990,mixed
10400.0,24.785,1000,1,2,0.990,mixed
10611.5,25.289,1000,1,2,0.990,mixed
10832.1,25.815,1000,1,2,0.990,mixed
11250.1,26.811,1000,1,2,0.990,mixed
11865.4,28.277,1000,1,2,0.990,mixed
12608.4,30.048,1000,1,2,0.990,mixed
14000.0,33.364,1000,1,2,0.990,mixed
14200.0,33.841,1000,1,2,0.990,mixed
14400.0,34.318,1000,1,2,0.990,mixed
14558.9,34.696,1000,1,2,0.990,mixed
14800.0,35.271,1000,1,2,0.990,mixed
15000.0,35.748,1000,1,2,0.990,mixed
15197.5,36.218,1000,1,2,0.990,mixed
15400.0,36.701,1000,1,2,0.990,mixed
15600.0,37.177,1000,1,2,0.990,mixed
15800.0,37.654,1000,1,2,0.990,mixed
16000.0,38.131,1000,1,2,0.990,mixed
16200.0,38.607,1000,1,2,0.990,mixed
16358.5,38.985,1000,1,2,0.990,mixed
16567.4,39.483,1000,1,2,0.990,mixed
