time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
20353.0,40.706,1000,1,2,0.990,mixed
20706.0,41.412,1000,1,2,0.990,mixed
22140.2,44.280,1000,1,2,0.990,mixed
22488.5,44.977,1000,1,2,0.990,mixed
22824.0,45.648,1000,1,2,0.990,mixed
23176.0,46.352,1000,1,2,0.990,mixed
23626.3,47.253,1000,1,2,0.990,mixed
23986.2,47.972,1000,1,2,0.990,mixed
24435.0,48.870,1000,1,2,0.990,mixed
24740.9,49.482,1000,1,2,0.990,mixed
25240.1,50.480,1000,1,2,0.990,mixed
25600.0,51.200,1000,1,2,0.990,mixed
26006.3,52.013,1000,1,2,0.990,mixed
26399.0,52.798,1000,1,2,0.990,mixed
27132.5,54.265,1000,1,2,0.990,mixed
27441.0,54.882,1000,1,2,0.990,mixed
27794.0,55.588,1000,1,2,0.990,mixed
28146.0,56.292,1000,1,2,0.990,mixed
28746.3,57.493,1000,1,2,0.990,mixed
29373.2,58.746,1000,1,2,0.990,mixed
29744.8,59.490,1000,1,2,0.990,mixed
30000.2,60.000,1000,1,2,0.990,mixed
30360.1,60.720,1000,1,2,0.990,mixed
30631.0,61.262,1000,1,2,0.990,mixed
31254.1,62.508,1000,1,2,0.990,mixed
31602.4,63.205,1000,1,2,0.990,mixed
31997.1,63.994,1000,1,2,0.990,mixed
32368.6,64.737,1000,1,2,0.990,mixed
32751.8,65.504,1000,1,2,0.990,mixed
33111.7,66.223,1000,1,2,0.990,mixed
33471.6,66.943,1000,1,2,0.990,mixed
33750.2,67.500,1000,1,2,0.990,mixed
34146.0,68.292,1000,1,2,0.990,mixed
34599.0,69.198,1000,1,2,0.990,mixed
35120.2,70.240,1000,1,2,0.990,mixed
35432.0,70.864,1000,1,2,0.990,mixed
35563.0,71.126,1000,1,2,0.990,mixed
35794.0,71.588,1000,1,2,0.990,mixed
35979.3,71.959,1000,1,2,0.990,mixed
36156.0,72.312,1000,1,2,0.990,mixed
36287.0,72.574,1000,1,2,0.990,mixed
36419.0,72.838,1000,1,2,0.990,mixed
36501.8,73.004,1000,1,2,0.990,mixed
36722.4,73.445,1000,1,2,0.990,mixed
36838.5,73.677,1000,1,2,0.990,mixed
36966.2,73.932,1000,1,2,0.990,mixed
37076.0,74.152,1000,1,2,0.990,mixed
37360.9,74.722,1000,1,2,0.990,mixed
