time_ms,beat_position,notes,placement_type,note_type,confidence,instrument
0.0,1.000,1001,4,2,0.980,kick
93.75,1.250,0000,0,3,1.000,unknown
187.5,1.500,1000,4,3,0.850,kick
281.25,1.750,0000,0,3,1.000,unknown
375.0,2.000,0110,4,2,0.960,snare
468.75,2.250,0000,0,3,1.000,unknown
562.5,2.500,0010,4,3,0.820,snare
656.25,2.750,0000,0,3,1.000,unknown
750.0,3.000,1001,4,2,0.980,kick
843.75,3.250,0100,4,3,0.750,snare
937.5,3.500,1000,4,3,0.880,kick
1031.25,3.750,0010,4,3,0.720,snare
1125.0,4.000,0110,4,2,0.940,snare
1218.75,4.250,0000,0,3,1.000,unknown
1312.5,4.500,1001,4,3,0.910,kick
1406.25,4.750,0000,0,3,1.000,unknown
1500.0,5.000,",",-1,-1,1.000,separator
1500.0,5.000,1010,4,2,0.950,kick
1593.75,5.250,0001,4,3,0.780,snare
1687.5,5.500,1000,4,3,0.850,kick
1781.25,5.750,0100,4,3,0.820,snare
1875.0,6.000,0010,4,2,0.920,snare
1968.75,6.250,1000,4,3,0.740,kick
2062.5,6.500,0100,4,3,0.790,snare
2156.25,6.750,0010,4,3,0.760,snare
2250.0,7.000,1011,4,2,0.970,kick
2343.75,7.250,0000,0,3,1.000,unknown
2437.5,7.500,1000,4,3,0.880,kick
2531.25,7.750,0000,0,3,1.000,unknown
2625.0,8.000,0110,4,2,0.930,snare
2718.75,8.250,1000,4,3,0.810,kick
2812.5,8.500,0001,4,3,0.770,snare
2906.25,8.750,0100,4,3,0.740,snare
3000.0,9.000,",",-1,-1,1.000,separator
3000.0,9.000,1000,4,2,0.990,kick
3093.75,9.250,0000,0,3,1.000,unknown
3187.5,9.500,0100,4,3,0.820,snare
3281.25,9.750,0000,0,3,1.000,unknown
3375.0,10.000,0010,4,2,0.940,snare
3468.75,10.250,0000,0,3,1.000,unknown
3562.5,10.500,0001,4,3,0.810,snare
3656.25,10.750,0000,0,3,1.000,unknown
3750.0,11.000,1000,4,2,0.980,kick
3843.75,11.250,0100,4,3,0.780,snare
3937.5,11.500,1000,4,3,0.870,kick
4031.25,11.750,0010,4,3,0.750,snare
4125.0,12.000,0011,4,2,0.930,snare
4218.75,12.250,1000,4,3,0.720,kick
4312.5,12.500,0100,4,3,0.740,snare
4406.25,12.750,0010,4,3,0.710,snare
4500.0,13.000,",",-1,-1,1.000,separator
4500.0,13.000,1001,4,2,0.980,kick
4593.75,13.250,0010,4,3,0.770,snare
4687.5,13.500,1000,4,3,0.860,kick
4781.25,13.750,0010,4,3,0.740,snare
4875.0,14.000,0110,4,2,0.950,snare
4968.75,14.250,1000,4,3,0.780,kick
5062.5,14.500,0010,4,3,0.790,snare
5156.25,14.750,1000,4,3,0.810,kick
5250.0,15.000,1010,4,2,0.960,kick
5343.75,15.250,0100,4,3,0.740,snare
5437.5,15.500,1000,4,3,0.850,kick
5531.25,15.750,0100,4,3,0.780,snare
5625.0,16.000,0011,4,2,0.920,snare
5718.75,16.250,1000,4,3,0.820,kick
5812.5,16.500,0110,4,3,0.880,snare
5906.25,16.750,1000,4,3,0.750,kick
6000.0,17.000,",",-1,-1,1.000,separator
6000.0,17.000,1100,4,2,0.990,kick
