song_name,window_start,window_end,actual_bpm,pred_bpm,rmse
bpm_60,0.0,20.0,60.0,120.0,60.0
bpm_60,20.0,40.0,60.0,120.0,60.0
bpm_60,40.0,60.0,60.0,120.0,60.0
bpm_60,60.0,80.0,60.0,120.0,60.0
bpm_60,80.0,100.0,60.0,120.0,60.0
bpm_60,100.0,120.0,60.0,120.0,60.0
bpm_60,120.0,140.0,60.0,120.0,60.0
bpm_60,140.0,160.0,60.0,142.86,82.86000000000001
bpm_60,160.0,180.0,60.0,120.0,60.0
bpm_61,0.0,20.0,61.0,130.43,69.43
bpm_61,20.0,40.0,61.0,130.43,69.43
bpm_61,40.0,60.0,61.0,130.43,69.43
bpm_61,60.0,80.0,61.0,130.43,69.43
bpm_61,80.0,100.0,61.0,130.43,69.43
bpm_61,100.0,120.0,61.0,130.43,69.43
bpm_61,120.0,140.0,61.0,120.0,59.0
bpm_61,140.0,160.0,61.0,142.86,81.86000000000001
bpm_61,160.0,180.0,61.0,130.43,69.43
bpm_62,0.0,20.0,62.0,130.43,68.43
bpm_62,20.0,40.0,62.0,130.43,68.43
bpm_62,40.0,60.0,62.0,130.43,68.43
bpm_62,60.0,80.0,62.0,130.43,68.43
bpm_62,80.0,100.0,62.0,130.43,68.43
bpm_62,100.0,120.0,62.0,130.43,68.43
bpm_62,120.0,140.0,62.0,120.0,58.0
bpm_62,140.0,160.0,62.0,142.86,80.86000000000001
bpm_62,160.0,180.0,62.0,130.43,68.43
bpm_63,0.0,20.0,63.0,130.43,67.43
bpm_63,20.0,40.0,63.0,130.43,67.43
bpm_63,40.0,60.0,63.0,130.43,67.43
bpm_63,60.0,80.0,63.0,130.43,67.43
bpm_63,80.0,100.0,63.0,130.43,67.43
bpm_63,100.0,120.0,63.0,100.0,37.0
bpm_63,120.0,140.0,63.0,130.43,67.43
bpm_63,140.0,160.0,63.0,142.86,79.86000000000001
bpm_63,160.0,180.0,63.0,130.43,67.43
bpm_64,0.0,20.0,64.0,130.43,66.43
bpm_64,20.0,40.0,64.0,130.43,66.43
bpm_64,40.0,60.0,64.0,130.43,66.43
bpm_64,60.0,80.0,64.0,130.43,66.43
bpm_64,80.0,100.0,64.0,130.43,66.43
bpm_64,100.0,120.0,64.0,100.0,36.0
bpm_64,120.0,140.0,64.0,130.43,66.43
bpm_64,140.0,160.0,64.0,142.86,78.86000000000001
bpm_64,160.0,180.0,64.0,166.67,102.66999999999999
bpm_65,0.0,20.0,65.0,150.0,85.0
bpm_65,20.0,40.0,65.0,150.0,85.0
bpm_65,40.0,60.0,65.0,150.0,85.0
bpm_65,60.0,80.0,65.0,150.0,85.0
bpm_65,80.0,100.0,65.0,150.0,85.0
bpm_65,100.0,120.0,65.0,150.0,85.0
bpm_65,120.0,140.0,65.0,130.43,65.43
bpm_65,140.0,160.0,65.0,150.0,85.0
bpm_65,160.0,180.0,65.0,150.0,85.0
bpm_66,0.0,20.0,66.0,150.0,84.0
bpm_66,20.0,40.0,66.0,130.43,64.43
bpm_66,40.0,60.0,66.0,130.43,64.43
bpm_66,60.0,80.0,66.0,130.43,64.43
bpm_66,80.0,100.0,66.0,130.43,64.43
bpm_66,100.0,120.0,66.0,100.0,34.0
bpm_66,120.0,140.0,66.0,130.43,64.43
bpm_66,140.0,160.0,66.0,142.86,76.86000000000001
bpm_66,160.0,180.0,66.0,130.43,64.43
bpm_67,0.0,20.0,67.0,130.43,63.43000000000001
bpm_67,20.0,40.0,67.0,130.43,63.43000000000001
bpm_67,40.0,60.0,67.0,130.43,63.43000000000001
bpm_67,60.0,80.0,67.0,130.43,63.43000000000001
bpm_67,80.0,100.0,67.0,130.43,63.43000000000001
bpm_67,100.0,120.0,67.0,130.43,63.43000000000001
bpm_67,120.0,140.0,67.0,130.43,63.43000000000001
bpm_67,140.0,160.0,67.0,142.86,75.86000000000001
bpm_67,160.0,180.0,67.0,130.43,63.43000000000001
bpm_68,0.0,20.0,68.0,150.0,82.0
bpm_68,20.0,40.0,68.0,150.0,82.0
bpm_68,40.0,60.0,68.0,150.0,82.0
bpm_68,60.0,80.0,68.0,150.0,82.0
bpm_68,80.0,100.0,68.0,142.86,74.86000000000001
bpm_68,100.0,120.0,68.0,100.0,32.0
bpm_68,120.0,140.0,68.0,130.43,62.43000000000001
bpm_68,140.0,160.0,68.0,142.86,74.86000000000001
bpm_68,160.0,180.0,68.0,150.0,82.0
bpm_69,0.0,20.0,69.0,150.0,81.0
bpm_69,20.0,40.0,69.0,150.0,81.0
bpm_69,40.0,60.0,69.0,150.0,81.0
bpm_69,60.0,80.0,69.0,150.0,81.0
bpm_69,80.0,100.0,69.0,142.86,73.86000000000001
bpm_69,100.0,120.0,69.0,142.86,73.86000000000001
bpm_69,120.0,140.0,69.0,142.86,73.86000000000001
bpm_69,140.0,160.0,69.0,142.86,73.86000000000001
bpm_69,160.0,180.0,69.0,142.86,73.86000000000001
