song_name,window_start,window_end,actual_bpm,pred_bpm
Bad Ketchup,0.0,40.0,180.0,120.0
Bad Ketchup,40.0,80.0,180.0,120.0
Bad Ketchup,80.0,120.0,180.0,120.0
Bad Ketchup,120.0,142.3774375,180.0,120.0
Bitch Clap,0.0,40.0,150.0,120.0
Bitch Clap,40.0,80.0,150.0,120.0
Bitch Clap,80.0,120.0,150.0,120.0
Bitch Clap,120.0,127.60000000000001,150.0,120.0
Bitch Clap,128.39166666666668,129.6,20.0,120.0
Call Me Maybe (Remix),0.0,40.0,124.0,120.0
Call Me Maybe (Remix),40.0,80.0,124.0,120.0
Call Me Maybe (Remix),80.0,120.0,124.0,120.0
Call Me Maybe (Remix),120.0,150.0,124.0,120.0
Dead Hollywood,0.0,40.0,172.0,120.0
Dead Hollywood,40.0,80.0,172.0,120.0
Dead Hollywood,80.0,120.0,172.0,120.0
Dead Hollywood,120.0,122.74725,172.0,120.0
Deal With It,0.0,40.0,130.0,120.0
Deal With It,40.0,80.0,130.0,120.0
Deal With It,80.0,120.0,130.0,120.0
Deal With It,120.0,133.718875,130.0,120.0
Gangnam Style,0.0,40.0,132.0,120.0
Gangnam Style,40.0,80.0,132.0,120.0
Gangnam Style,80.0,120.0,132.0,120.0
Gangnam Style,120.0,147.272625,132.0,120.0
Girls,0.0,40.0,124.712,120.0
Girls,40.0,80.0,124.712,120.0
Girls,80.0,120.0,124.712,120.0
Girls,120.0,124.12598627237153,124.712,120.0
Girls,124.12598627237153,127.974875,31.178,120.0
Goin' Under,0.0,40.0,210.0,120.0
Goin' Under,40.0,80.0,210.0,120.0
Goin' Under,80.0,120.0,210.0,120.0
Goin' Under,120.0,123.428625,210.0,120.0
Goodbye (2012 Mix),0.0,40.0,170.0,120.0
Goodbye (2012 Mix),40.0,80.0,170.0,120.0
Goodbye (2012 Mix),80.0,120.0,170.0,120.0
Goodbye (2012 Mix),120.0,134.8235,170.0,120.0
Human Error,0.0,27.457627118644066,177.0,120.0
Human Error,27.457627118644066,29.41050691889236,215.067,120.0
Human Error,29.749489969739816,31.14440411277431,215.067,120.0
Human Error,32.16152275684211,34.11440255709041,215.067,120.0
Human Error,35.67753836605395,36.694487518596326,177.0,120.0
Human Error,36.694487518596326,38.36838449023772,215.067,120.0
Human Error,38.70736754108518,40.66024734133348,215.067,120.0
Human Error,41.338213443028394,43.01211041466979,215.067,120.0
Human Error,43.01211041466979,83.01211041466979,177.0,120.0
Human Error,83.01211041466979,89.4527883807715,177.0,120.0
Human Error,89.4527883807715,91.40566818101979,215.067,120.0
Human Error,91.74465123186725,93.13956537490175,215.067,120.0
Human Error,94.15668401896953,96.10956381921783,215.067,120.0
Human Error,97.67269962818139,98.68964878072376,177.0,120.0
